order_id,order_datetime,order_date,product_id,product_name,category,brand,region,country,sales_channel,sales_rep,customer_tier,payment_method,quantity,unit_price_usd,unit_cost_usd,discount_pct,discount_amount_usd,gross_revenue_usd,net_revenue_usd,cogs_usd,gross_profit_usd,order_status,is_returned
ORD-20250630-100000,2025-06-30 15:56:40,2025-06-30,PRD-1013,Thermal Coffee Mug,Kitchen,BrewKeep,Asia Pacific,South Korea,Direct Sales,Tom Anderson,Platinum,Bank Transfer,1,17.9,6.0,20,3.58,17.9,14.32,6.0,8.32,Completed,0
ORD-20250630-100001,2025-06-30 22:36:59,2025-06-30,PRD-1005,Mechanical Keyboard RGB,Electronics,TypeMaster,Latin America,Brazil,Wholesale,Nina Rossi,Platinum,Google Pay,4,43.22,38.0,0,0.0,172.88,172.88,152.0,20.88,Completed,0
ORD-20250630-100002,2025-06-30 15:33:09,2025-06-30,PRD-1012,Monitor Arm Dual,Furniture,DeskPro,North America,United States,Retail,Nina Rossi,Gold,Apple Pay,3,21.83,22.0,0,0.0,65.49,65.49,66.0,-0.51,Returned,1
ORD-20250630-100003,2025-06-30 04:24:09,2025-06-30,PRD-1015,Phone Wireless Charger,Electronics,ChargeFast,North America,Mexico,Retail,Priya Patel,Gold,PayPal,4,10.65,8.0,5,2.13,42.61,40.48,32.0,8.48,Completed,0
ORD-20250630-100004,2025-06-30 09:21:36,2025-06-30,PRD-1003,Ergonomic Office Chair,Furniture,ComfortPlus,Middle East,Qatar,Wholesale,Mike Chen,Silver,Bank Transfer,8,116.0,110.0,15,139.21,928.03,788.82,880.0,-91.18,Completed,0
ORD-20250630-100005,2025-06-30 22:47:03,2025-06-30,PRD-1017,Desk Organizer Bamboo,Office,EcoDesk,North America,Mexico,Retail,Emily Davis,Bronze,Bank Transfer,10,24.56,9.0,10,24.56,245.57,221.01,90.0,131.01,Completed,0
ORD-20250630-100006,2025-06-30 02:30:53,2025-06-30,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Asia Pacific,Singapore,Wholesale,Emily Davis,Gold,Google Pay,5,17.11,4.0,20,17.11,85.57,68.46,20.0,48.46,Completed,0
ORD-20250630-100007,2025-06-30 10:08:58,2025-06-30,PRD-1008,Noise Cancelling Earbuds,Electronics,AudioTech,Latin America,Brazil,Online,Carlos Rivera,Bronze,Apple Pay,3,36.1,22.0,0,0.0,108.31,108.31,66.0,42.31,Completed,0
ORD-20250630-100008,2025-06-30 21:11:30,2025-06-30,PRD-1019,Smart Notebook Reusable,Office,WriteRight,Asia Pacific,Australia,Direct Sales,Sarah Johnson,Silver,Debit Card,8,23.73,7.0,0,0.0,189.83,189.83,56.0,133.83,Returned,1
ORD-20250630-100009,2025-06-30 06:40:25,2025-06-30,PRD-1005,Mechanical Keyboard RGB,Electronics,TypeMaster,North America,Mexico,Retail,David Kim,Silver,Apple Pay,6,54.87,38.0,10,32.92,329.23,296.31,228.0,68.31,Completed,0
ORD-20250630-100010,2025-06-30 20:24:01,2025-06-30,PRD-1012,Monitor Arm Dual,Furniture,DeskPro,Latin America,Chile,Partner,Lisa Park,Silver,Debit Card,8,41.45,22.0,0,0.0,331.56,331.56,176.0,155.56,Completed,0
ORD-20250630-100011,2025-06-30 23:58:20,2025-06-30,PRD-1013,Thermal Coffee Mug,Kitchen,BrewKeep,Europe,Spain,Online,David Kim,Gold,Google Pay,2,24.31,6.0,5,2.43,48.63,46.2,12.0,34.2,Completed,0
ORD-20250630-100012,2025-06-30 21:24:43,2025-06-30,PRD-1015,Phone Wireless Charger,Electronics,ChargeFast,North America,Mexico,Wholesale,Mike Chen,Silver,Credit Card,9,15.93,8.0,15,21.5,143.34,121.84,72.0,49.84,Completed,0
ORD-20250630-100013,2025-06-30 06:49:00,2025-06-30,PRD-1019,Smart Notebook Reusable,Office,WriteRight,North America,Canada,Direct Sales,Lisa Park,Platinum,Google Pay,3,16.12,7.0,5,2.42,48.37,45.95,21.0,24.95,Completed,0
ORD-20250630-100014,2025-06-30 01:57:47,2025-06-30,PRD-1007,Laptop Stand Aluminum,Accessories,DeskPro,Latin America,Chile,Online,Emily Davis,Platinum,Bank Transfer,5,14.72,10.0,0,0.0,73.6,73.6,50.0,23.6,Completed,0
ORD-20250630-100015,2025-06-30 10:32:57,2025-06-30,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Middle East,UAE,Partner,Emily Davis,Silver,Apple Pay,8,9.61,4.0,20,15.38,76.91,61.53,32.0,29.53,Completed,0
ORD-20250630-100016,2025-06-30 03:18:41,2025-06-30,PRD-1003,Ergonomic Office Chair,Furniture,ComfortPlus,Asia Pacific,Australia,Wholesale,Priya Patel,Silver,Debit Card,8,105.86,110.0,10,84.69,846.88,762.19,880.0,-117.81,Completed,0
