order_id,order_datetime,order_date,product_id,product_name,category,brand,region,country,sales_channel,sales_rep,customer_tier,payment_method,quantity,unit_price_usd,unit_cost_usd,discount_pct,discount_amount_usd,gross_revenue_usd,net_revenue_usd,cogs_usd,gross_profit_usd,order_status,is_returned
ORD-20250628-100000,2025-06-28 02:23:12,2025-06-28,PRD-1007,Laptop Stand Aluminum,Accessories,DeskPro,Middle East,UAE,Online,Omar Hassan,Silver,Google Pay,6,17.6,10.0,0,0.0,105.6,105.6,60.0,45.6,Completed,0
ORD-20250628-100001,2025-06-28 11:33:28,2025-06-28,PRD-1003,Ergonomic Office Chair,Furniture,ComfortPlus,Asia Pacific,South Korea,Wholesale,Emily Davis,Silver,PayPal,2,112.9,110.0,0,0.0,225.8,225.8,220.0,5.8,Completed,0
ORD-20250628-100002,2025-06-28 14:36:16,2025-06-28,PRD-1010,Portable SSD 1TB,Storage,DataVault,North America,United States,Direct Sales,Anna Mueller,Gold,Debit Card,4,39.77,30.0,0,0.0,159.07,159.07,120.0,39.07,Completed,0
ORD-20250628-100003,2025-06-28 14:07:36,2025-06-28,PRD-1004,Standing Desk Mat,Furniture,ComfortPlus,Middle East,Qatar,Online,Nina Rossi,Platinum,Bank Transfer,10,14.36,18.0,15,21.54,143.6,122.06,180.0,-57.94,Completed,0
ORD-20250628-100004,2025-06-28 03:35:15,2025-06-28,PRD-1010,Portable SSD 1TB,Storage,DataVault,Asia Pacific,India,Wholesale,David Kim,Platinum,PayPal,4,35.74,30.0,5,7.15,142.97,135.82,120.0,15.82,Completed,0
ORD-20250628-100005,2025-06-28 21:29:03,2025-06-28,PRD-1018,Portable Projector Mini,Electronics,VisionTech,Asia Pacific,South Korea,Retail,David Kim,Platinum,Bank Transfer,9,98.87,80.0,0,0.0,889.84,889.84,720.0,169.84,Completed,0
ORD-20250628-100006,2025-06-28 20:06:36,2025-06-28,PRD-1003,Ergonomic Office Chair,Furniture,ComfortPlus,Latin America,Colombia,Online,Tom Anderson,Gold,Bank Transfer,4,126.39,110.0,20,101.11,505.55,404.44,440.0,-35.56,Completed,0
ORD-20250628-100007,2025-06-28 22:45:38,2025-06-28,PRD-1016,Blue Light Glasses,Accessories,VisionShield,Europe,France,Retail,Nina Rossi,Silver,Debit Card,4,21.76,5.5,0,0.0,87.03,87.03,22.0,65.03,Completed,0
ORD-20250628-100008,2025-06-28 17:58:08,2025-06-28,PRD-1019,Smart Notebook Reusable,Office,WriteRight,Asia Pacific,Singapore,Retail,Priya Patel,Platinum,Bank Transfer,5,3.0,7.0,20,3.0,14.99,11.99,35.0,-23.01,Completed,0
ORD-20250628-100009,2025-06-28 07:39:59,2025-06-28,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Latin America,Argentina,Retail,David Kim,Gold,Google Pay,5,3.13,4.0,5,0.78,15.67,14.89,20.0,-5.11,Completed,0
ORD-20250628-100010,2025-06-28 18:06:16,2025-06-28,PRD-1005,Mechanical Keyboard RGB,Electronics,TypeMaster,North America,United States,Online,Mike Chen,Platinum,Apple Pay,4,50.15,38.0,0,0.0,200.6,200.6,152.0,48.6,Completed,0
ORD-20250628-100011,2025-06-28 06:19:31,2025-06-28,PRD-1007,Laptop Stand Aluminum,Accessories,DeskPro,Europe,France,Partner,Tom Anderson,Silver,Apple Pay,9,11.97,10.0,0,0.0,107.75,107.75,90.0,17.75,Completed,0
